date,year,month,incorporation_by_company_split_all_companies,corporate_reorganization_all_companies,dissolution_by_merger_all_companies,incorporation_by_merger_all_companies,completion_of_liquidation_all_companies,special_liquidation_all_companies,capital_increase_by_company_split_all_companies,capital_decrease_by_company_split_all_companies,bankruptcy_or_civil_rehabilitation_all_companies,registrations_total_all_companies,dissolution_all_companies,incorporation_all_companies,incorporation_by_company_split_kabushiki,corporate_reorganization_kabushiki,dissolution_by_merger_kabushiki,incorporation_by_merger_kabushiki,completion_of_liquidation_kabushiki,special_liquidation_kabushiki,capital_increase_by_company_split_kabushiki,capital_decrease_by_company_split_kabushiki,bankruptcy_or_civil_rehabilitation_kabushiki,registrations_total_kabushiki,dissolution_kabushiki,incorporation_kabushiki,incorporation_by_company_split_tokurei_yugen,corporate_reorganization_tokurei_yugen,dissolution_by_merger_tokurei_yugen,incorporation_by_merger_tokurei_yugen,completion_of_liquidation_tokurei_yugen,special_liquidation_tokurei_yugen,capital_increase_by_company_split_tokurei_yugen,capital_decrease_by_company_split_tokurei_yugen,bankruptcy_or_civil_rehabilitation_tokurei_yugen,registrations_total_tokurei_yugen,dissolution_tokurei_yugen,incorporation_tokurei_yugen,incorporation_by_company_split_gomei,corporate_reorganization_gomei,dissolution_by_merger_gomei,incorporation_by_merger_gomei,completion_of_liquidation_gomei,special_liquidation_gomei,capital_increase_by_company_split_gomei,capital_decrease_by_company_split_gomei,bankruptcy_or_civil_rehabilitation_gomei,registrations_total_gomei,dissolution_gomei,incorporation_gomei,incorporation_by_company_split_goshi,corporate_reorganization_goshi,dissolution_by_merger_goshi,incorporation_by_merger_goshi,completion_of_liquidation_goshi,special_liquidation_goshi,capital_increase_by_company_split_goshi,capital_decrease_by_company_split_goshi,bankruptcy_or_civil_rehabilitation_goshi,registrations_total_goshi,dissolution_goshi,incorporation_goshi,incorporation_by_company_split_godo,corporate_reorganization_godo,dissolution_by_merger_godo,incorporation_by_merger_godo,completion_of_liquidation_godo,special_liquidation_godo,capital_increase_by_company_split_godo,capital_decrease_by_company_split_godo,bankruptcy_or_civil_rehabilitation_godo,registrations_total_godo,dissolution_godo,incorporation_godo
2022-04-01,2022,4,95,3,967,0,2388,55,18,1,756,114188,3693,11638,94,2,870,0,1184,55,18,1,529,89940,1819,8385,,1,72,,968,,,0,194,15318,1529,,0,,2,0,7,,,,0,50,6,0,0,,0,0,22,,,,3,259,33,2,1,,23,0,207,,0,0,30,8621,306,3251
2022-05-01,2022,5,32,2,315,1,2188,48,0,0,810,98405,2940,10220,30,1,251,1,1074,48,0,0,571,76346,1408,7308,,1,37,,887,,,0,198,13486,1188,,0,,0,0,4,,,,0,58,5,3,0,,0,0,18,,,,5,198,27,1,2,,27,0,205,,0,0,36,8317,312,2908
2022-06-01,2022,6,71,2,338,0,2739,46,0,0,883,128194,3295,11544,67,2,263,0,1344,46,0,0,623,103930,1579,8178,,0,43,,1115,,,0,206,14852,1375,,0,,0,0,7,,,,1,65,4,1,0,,1,0,20,,,,1,235,26,4,4,,31,0,253,,0,0,52,9112,311,3361
2022-07-01,2022,7,102,0,417,0,2767,44,2,3,764,123430,3154,10701,100,0,348,0,1312,44,2,3,532,101152,1538,7715,,0,45,,1145,,,0,191,13743,1339,,0,,2,0,2,,,,0,50,6,2,0,,1,0,32,,,,1,224,23,2,2,,21,0,276,,0,0,40,8261,248,2982
2022-08-01,2022,8,61,0,350,0,3219,46,4,2,903,106127,3107,10509,57,0,286,0,1497,46,4,2,680,83136,1505,7597,,0,46,,1367,,,0,197,14064,1238,,0,,0,0,6,,,,0,67,8,2,0,,0,0,32,,,,1,235,19,2,4,,18,0,317,,0,0,25,8625,337,2908
2022-09-01,2022,9,49,1,348,1,2902,41,2,1,795,98308,3182,9682,48,1,280,1,1398,41,2,1,566,76446,1504,6792,,0,49,,1214,,,0,186,13353,1284,,0,,1,0,9,,,,0,77,8,2,0,,1,0,26,,,,4,232,23,3,1,,17,0,255,,0,0,39,8200,363,2885
2022-10-01,2022,10,62,5,576,0,3163,52,6,1,923,105003,3622,10500,62,5,493,0,1578,52,6,1,663,81598,1811,7501,,0,42,,1294,,,0,205,14364,1418,,0,,0,0,3,,,,1,81,9,4,0,,0,0,15,,,,4,215,21,1,0,,41,0,273,,0,0,50,8745,363,2994
2022-11-01,2022,11,56,1,284,0,3000,49,2,0,1010,101693,3095,11498,54,1,233,0,1445,49,2,0,708,78611,1561,8163,,0,26,,1227,,,0,248,13544,1151,,0,,0,0,7,,,,0,64,3,2,0,,0,0,23,,,,4,232,28,4,2,,25,0,298,,0,0,50,9242,352,3329
2022-12-01,2022,12,84,3,315,0,3318,30,3,0,829,98356,2862,10225,82,2,247,0,1646,30,3,0,577,76814,1420,7175,,1,44,,1360,,,0,210,12849,1083,,0,,0,0,9,,,,0,60,4,1,0,,1,0,22,,,,0,220,12,2,2,,23,0,281,,0,0,42,8413,343,3047
2023-01-01,2023,1,41,0,469,0,2589,45,5,0,1001,92500,3286,11911,39,0,409,0,1349,45,5,0,707,70872,1588,8376,,0,38,,939,,,0,228,12324,1286,,0,,1,0,6,,,,1,84,13,2,0,,0,0,20,,,,6,224,31,1,2,,21,0,275,,0,0,59,8996,368,3532
2023-02-01,2023,2,42,1,264,0,2513,38,1,0,825,87816,2727,9787,41,1,209,0,1262,38,1,0,593,67233,1358,6745,,0,34,,945,,,0,182,11716,1009,,0,,0,0,5,,,,0,76,10,2,0,,0,0,17,,,,3,211,24,3,1,,21,0,284,,0,0,47,8580,326,3037
2023-03-01,2023,3,63,1,441,0,2512,58,2,2,1144,104799,2835,12064,62,1,333,0,1324,58,2,1,859,81475,1366,8405,,0,73,,892,,,1,230,12969,1093,,0,,1,0,5,,,,1,57,3,1,0,,1,0,18,,,,4,205,16,1,1,,33,0,273,,0,0,50,10093,357,3657
2023-04-01,2023,4,89,1,918,0,2723,33,16,2,906,120191,4463,12563,88,1,826,0,1377,33,16,2,653,94687,2178,8972,,0,68,,1010,,,0,214,15499,1848,,0,,0,0,12,,,,0,66,5,1,0,,2,0,25,,,,3,263,44,3,1,,22,0,299,,0,0,36,9676,388,3587
2023-05-01,2023,5,46,4,302,0,2631,35,3,0,980,107259,3638,11409,45,3,252,0,1279,35,2,0,712,83240,1729,8259,,1,31,,1053,,,0,217,14156,1504,,0,,0,0,7,,,,0,63,4,2,0,,0,0,12,,,,2,215,38,0,1,,19,0,280,,1,0,49,9585,363,3148
2023-06-01,2023,6,55,0,316,0,3092,48,4,0,1165,129723,3727,11581,55,0,257,0,1528,48,4,0,834,105010,1778,8298,,0,42,,1210,,,0,265,14698,1540,,0,,1,0,4,,,,0,56,9,1,0,,0,0,20,,,,0,222,21,0,0,,16,0,330,,0,0,66,9737,379,3282
2023-07-01,2023,7,69,2,412,0,3008,45,4,2,1041,126249,3832,11195,68,2,353,0,1442,45,4,2,746,103069,1804,8123,,0,34,,1249,,,0,243,14087,1613,,0,,0,0,3,,,,0,64,5,0,0,,1,0,32,,,,1,264,38,2,1,,24,0,282,,0,0,51,8765,372,3070
2023-08-01,2023,8,75,0,398,0,3406,55,0,0,1136,112784,3798,12971,71,0,319,0,1567,55,0,0,827,86908,1744,9345,,0,41,,1463,,,0,243,15238,1602,,0,,0,0,5,,,,0,82,12,1,0,,1,0,35,,,,2,301,41,2,4,,37,0,336,,0,0,64,10255,399,3623
2023-09-01,2023,9,62,0,398,0,3353,41,0,1,1008,101505,3654,11721,62,0,317,0,1599,41,0,1,729,77737,1669,8328,,0,56,,1374,,,0,222,14218,1533,,0,,1,0,4,,,,0,52,9,2,0,,0,0,45,,,,3,272,38,1,0,,24,0,331,,0,0,54,9226,405,3390
2023-10-01,2023,10,73,0,669,0,3800,51,7,1,1252,118597,4660,13472,72,0,552,0,1835,51,7,1,890,90759,2185,9651,,0,80,,1586,,,0,304,16799,1968,,0,,0,0,13,,,,1,78,10,1,0,,0,0,34,,,,5,289,40,2,1,,37,0,332,,0,0,52,10672,457,3818
2023-11-01,2023,11,49,0,288,0,3634,47,1,0,1301,105950,3541,11279,49,0,228,0,1698,47,1,0,934,81343,1700,7963,,0,38,,1503,,,0,294,14353,1393,,0,,1,0,6,,,,0,59,5,1,0,,0,0,36,,,,5,252,25,0,0,,21,0,391,,0,0,68,9943,418,3315
2023-12-01,2023,12,73,1,316,0,4108,50,1,0,1151,105608,3236,11499,73,1,244,0,1922,50,1,0,840,82094,1644,8204,,0,47,,1737,,,0,258,13505,1157,,0,,0,0,6,,,,0,70,8,1,0,,1,0,37,,,,3,277,23,2,0,,24,0,406,,0,0,50,9662,404,3292
2024-01-01,2024,1,55,3,492,1,3102,59,2,1,1194,96707,3418,11479,55,3,410,1,1518,59,2,1,880,73764,1574,8073,,0,53,,1220,,,0,258,12689,1346,,0,,0,0,6,,,,0,57,5,0,0,,1,0,30,,,,2,248,28,3,0,,28,0,328,,0,0,54,9949,465,3403
2024-02-01,2024,2,52,1,243,0,2738,41,2,1,1138,92512,2903,10838,52,1,206,0,1371,41,2,1,803,70679,1391,7649,,0,26,,1068,,,0,267,12070,1065,,0,,1,0,7,,,,3,60,4,0,0,,0,0,25,,,,1,194,19,2,0,,10,0,267,,0,0,64,9509,424,3187
2024-03-01,2024,3,69,0,392,0,2385,59,4,0,1292,97414,2776,12330,68,0,320,0,1212,59,4,0,912,75240,1325,8700,,0,42,,851,,,0,300,11712,1044,,0,,0,0,5,,,,0,57,6,0,0,,0,0,19,,,,4,186,15,1,1,,30,0,298,,0,0,76,10219,386,3629
2024-04-01,2024,4,93,2,978,1,2937,62,12,1,1099,125515,4471,12764,92,0,852,1,1465,62,12,1,805,98470,2169,8905,,2,84,,1146,,,0,236,15798,1821,,0,,1,0,6,,,,0,64,7,0,0,,0,0,22,,,,4,216,30,0,1,,41,0,298,,0,0,54,10967,444,3859
2024-05-01,2024,5,68,2,355,0,3162,60,3,2,1439,117012,4013,12909,68,2,291,0,1504,60,3,2,1038,89876,1866,9017,,0,42,,1201,,,0,327,15129,1597,,0,,1,0,5,,,,1,65,10,1,0,,0,0,28,,,,3,275,36,1,0,,21,0,424,,0,0,70,11667,504,3890
2024-06-01,2024,6,56,0,367,0,2892,45,1,0,1210,118421,3506,11282,53,0,290,0,1434,45,1,0,856,95171,1653,7946,,0,44,,1094,,,0,275,13177,1406,,0,,0,0,6,,,,0,67,7,3,0,,2,0,27,,,,3,226,30,3,3,,31,0,331,,0,0,76,9780,410,3330
2024-07-01,2024,7,85,1,456,0,3524,56,4,0,1404,140665,3959,12385,84,1,373,0,1710,56,4,0,996,114724,1896,8686,,0,64,,1408,,,0,333,14906,1587,,0,,0,0,9,,,,1,61,6,1,0,,1,0,27,,,,2,252,32,0,1,,18,0,370,,0,0,72,10722,438,3698
2024-08-01,2024,8,71,12,394,0,3508,66,0,1,1318,108963,3639,12505,69,8,310,0,1653,66,0,1,980,84138,1701,8826,,4,45,,1389,,,0,276,13831,1454,,0,,0,0,8,,,,0,50,7,0,0,,1,0,27,,,,2,242,37,0,2,,38,0,431,,0,0,60,10702,440,3679
2024-09-01,2024,9,66,10,344,0,3280,46,5,2,1139,94833,3371,9805,64,6,282,0,1511,46,5,1,816,72714,1557,6754,,4,35,,1365,,,0,249,12687,1357,,0,,2,0,9,,,,2,57,7,1,0,,0,0,36,,,,1,230,29,3,2,,25,0,359,,0,1,71,9145,421,3047
2024-10-01,2024,10,96,6,694,0,3934,73,10,1,1526,121704,4413,12727,95,6,585,0,1863,73,10,1,1079,94392,2220,9024,,0,70,,1614,,,0,346,15537,1664,,0,,2,0,11,,,,0,89,8,2,0,,0,0,32,,,,0,287,37,1,1,,37,0,414,,0,0,101,11399,484,3700
2024-11-01,2024,11,69,2,365,0,3551,65,0,0,1446,107649,3607,11099,69,2,289,0,1687,65,0,0,1047,81356,1861,7812,,0,33,,1411,,,0,304,13246,1269,,0,,0,0,7,,,,2,71,10,2,0,,1,0,31,,,,2,273,34,3,0,,42,0,415,,0,0,91,12703,433,3282
2024-12-01,2024,12,61,0,378,0,3757,44,4,2,1320,103597,3136,10352,59,0,309,0,1789,44,4,2,952,80846,1582,7279,,0,44,,1541,,,0,283,12625,1096,,0,,2,0,6,,,,0,41,5,1,0,,1,0,30,,,,1,224,23,2,2,,22,0,391,,0,0,84,9861,430,3070
2025-01-01,2025,1,60,1,537,0,3137,74,6,0,1338,99149,3479,12752,59,1,437,0,1613,74,5,0,987,76282,1696,8914,,0,61,,1092,,,0,283,12123,1292,,0,,2,0,6,,,,2,83,10,3,0,,1,0,25,,,,2,213,22,1,1,,36,0,401,,1,0,64,10448,459,3834
2025-02-01,2025,2,34,2,313,0,2701,62,4,1,1284,92039,2859,10367,33,1,257,0,1348,62,4,1,965,70615,1429,7032,,1,25,,980,,,0,243,11254,983,,0,,0,0,4,,,,0,57,5,1,0,,1,0,26,,,,1,226,29,2,1,,30,0,343,,0,0,75,9887,413,3332
2025-03-01,2025,3,57,4,509,1,2439,74,2,1,1411,100941,2911,12526,56,4,385,1,1263,74,2,1,1021,78290,1418,8626,,0,52,,821,,,0,309,11487,1045,,0,,0,0,6,,,,1,54,7,1,0,,0,0,20,,,,2,215,24,0,1,,72,0,329,,0,0,78,10895,417,3899
2025-04-01,2025,4,119,2,941,0,2971,47,4,3,1272,126505,4497,13690,118,2,854,0,1463,47,4,3,905,99451,2230,9531,,0,58,,1161,,,0,295,15254,1756,,0,,2,0,8,,,,1,81,8,3,0,,3,0,16,,,,0,224,36,0,1,,24,0,323,,0,0,71,11495,467,4156
2025-05-01,2025,5,63,4,420,1,3117,60,3,1,1386,118818,4191,12784,61,4,359,1,1539,60,3,1,1021,91673,2005,8784,,0,39,,1170,,,0,294,14618,1641,,0,,0,0,8,,,,1,63,5,1,0,,0,0,29,,,,1,224,30,1,2,,22,0,371,,0,0,69,12240,510,3998
2025-06-01,2025,6,54,0,385,0,3071,60,2,0,1361,127626,3739,11958,54,0,322,0,1582,60,2,0,991,103005,1883,8254,,0,34,,1102,,,0,287,13302,1371,,0,,0,0,5,,,,1,54,5,2,0,,0,0,22,,,,2,168,21,0,0,,29,0,360,,0,0,80,11097,459,3702
2025-07-01,2025,7,85,10,545,0,3158,54,5,0,1318,135647,3705,13195,82,6,445,0,1537,54,5,0,941,110898,1834,9311,,4,64,,1233,,,0,294,13388,1412,,0,,0,0,9,,,,0,50,6,2,0,,0,0,24,,,,2,192,23,1,3,,36,0,355,,0,0,81,11119,430,3881
2025-08-01,2025,8,62,4,418,0,3523,58,5,0,1459,114326,3869,11170,62,4,346,0,1713,58,5,0,1061,89237,1865,7591,,0,39,,1389,,,0,301,13663,1455,,0,,0,0,6,,,,0,66,8,0,0,,2,0,23,,,,4,212,28,2,0,,31,0,392,,0,0,93,11148,513,3577
2025-09-01,2025,9,92,5,412,1,3439,71,2,0,1262,107886,3752,12348,89,5,333,1,1687,71,2,0,939,83101,1845,8254,,0,54,,1332,,,0,257,12968,1371,,0,,0,0,7,,,,0,60,7,1,0,,2,0,21,,,,2,188,24,0,3,,23,0,392,,0,0,64,11569,505,4093
2025-10-01,2025,10,97,4,739,0,4256,69,13,0,1648,134702,4750,14750,97,4,628,0,2090,69,13,0,1209,104508,2363,10212,,0,73,,1642,,,0,344,15964,1683,,0,,1,0,6,,,,2,72,8,0,0,,1,0,38,,,,2,271,32,3,0,,36,0,480,,0,0,91,13887,664,4535
2025-11-01,2025,11,47,2,446,1,3459,77,1,2,1362,102201,3601,9526,47,2,362,1,1693,77,1,2,972,79155,1848,6600,,0,55,,1333,,,0,310,12364,1200,,0,,0,0,6,,,,0,61,10,1,0,,1,0,31,,,,1,225,25,3,0,,28,0,396,,0,0,79,10396,518,2922
2025-12-01,2025,12,71,4,482,0,4112,79,5,0,1463,113508,3454,10291,69,4,346,0,2115,79,5,0,1048,89445,1832,7056,,0,104,,1524,,,0,317,12625,1056,,0,,0,0,10,,,,1,62,4,1,0,,0,0,23,,,,5,186,14,2,2,,32,0,440,,0,0,92,11190,548,3232
2026-01-01,2026,1,68,6,557,0,3381,79,1,0,1364,105639,3874,11203,67,6,482,0,1766,79,1,0,998,81133,1983,7611,,0,47,,1190,,,0,303,12560,1267,,0,,0,0,3,,,,0,65,10,1,0,,0,0,21,,,,0,202,24,1,1,,28,0,401,,0,0,63,11679,590,3590
